"GC"|Yes|"78687574"|"145687625"
"SC"|No |"78687574"|"145687626"
"GM"|No |"78687573"|"145687621"
"GP-GC"|Yes|"78687573"|"145687622"
"SM"|No |"78687573"|"145687623"
"SC-SM"|No |"78687573"|"145687624"
"GC-GM"|Yes|"78687572"|"145687617"
"GM"|No |"78687572"|"145687618"
"SM"|No |"78687572"|"145687619"
"SC-SM"|No |"78687572"|"145687620"
"GC"|Yes|"78687571"|"145687615"
"SC"|No |"78687571"|"145687616"
"GC"|Yes|"78687570"|"145687613"
"SC"|No |"78687570"|"145687614"
"SC"|No |"78687569"|"145687612"
"CL"|Yes|"78687569"|"145687611"
"CL"|Yes|"78687568"|"145687609"
"SC"|No |"78687568"|"145687610"
"ML"|Yes|"78687567"|"145687608"
"CL"|Yes|"78687566"|"145687606"
"SC"|No |"78687566"|"145687607"
"ML"|Yes|"78687565"|"145687605"
"CL"|Yes|"78687564"|"145687604"
