"mixed"|"26376207"|"20868255"
"smectitic"|"26376206"|"20868254"
"mixed"|"26376181"|"20868238"
"mixed"|"26376205"|"20868253"
"mixed"|"26376180"|"20868237"
"mixed"|"26376177"|"20868236"
"mixed"|"26376176"|"20868235"
"mixed"|"26376175"|"20868234"
"mixed"|"26376174"|"20868233"
"mixed"|"26376198"|"20868248"
"mixed"|"26376222"|"20868270"
"mixed"|"26376196"|"20868247"
"mixed"|"26376195"|"20868246"
"mixed"|"26376204"|"20868252"
"mixed"|"26376191"|"20868245"
"mixed"|"26376189"|"20868244"
"mixed"|"26376188"|"20868243"
"mixed"|"26376187"|"20868242"
"mixed"|"26376186"|"20868241"
"mixed"|"26376184"|"20868240"
"mixed"|"26376183"|"20868239"
"mixed"|"26376221"|"20868269"
"mixed"|"26376169"|"20868232"
"mixed"|"26376168"|"20868231"
"mixed"|"26376201"|"20868249"
"mixed"|"26376203"|"20868251"
"mixed"|"26376220"|"20868268"
"mixed"|"26376219"|"20868267"
"mixed"|"26376218"|"20868265"
"smectitic"|"26376218"|"20868266"
"mixed"|"26376217"|"20868264"
"mixed"|"26376215"|"20868263"
"mixed"|"26376214"|"20868262"
"mixed"|"26376211"|"20868260"
"mixed"|"26376210"|"20868259"
"mixed"|"26376212"|"20868261"
"mixed"|"26376209"|"20868257"
"smectitic"|"26376209"|"20868258"
"mixed"|"26376167"|"20868230"
"mixed"|"26376165"|"20868229"
"mixed"|"26376208"|"20868256"
"mixed"|"26376202"|"20868250"
