65|70|75|"Mixed rock fragments"|2|40|75|"Nonflat"|"Subrounded"|"Indurated"|"78687614"|"135455325"
5|16|20||2|40|75|"Nonflat"|||"78687622"|"135455332"
0|0|0||2|40|75|"Nonflat"|||"78687621"|"135455331"
0|5|10||5|40|75|"Nonflat"|||"78687659"|"135455368"
0|0|0||2|40|75|"Nonflat"|||"78687658"|"135455367"
0|5|10||5|40|75|"Nonflat"|||"78687657"|"135455366"
0|5|10||5|40|75|"Nonflat"|||"78687656"|"135455365"
0|0|0||2|40|75|"Nonflat"|||"78687655"|"135455364"
0|0|0||2|40|75|"Nonflat"|||"78687654"|"135455363"
0|0|0||2|40|75|"Nonflat"|||"78687653"|"135455362"
0|0|0||2|40|75|"Nonflat"|||"78687652"|"135455361"
0|0|0||2|40|75|"Nonflat"|||"78687651"|"135455360"
0|0|0||2|40|75|"Nonflat"|||"78687650"|"135455359"
0|5|10||5|40|75|"Nonflat"|||"78687649"|"135455358"
0|5|10||5|40|75|"Nonflat"|||"78687648"|"135455357"
0|2|3||2|40|75|"Nonflat"|||"78687647"|"135455356"
0|2|3||2|40|75|"Nonflat"|||"78687646"|"135455355"
0|2|3||2|40|75|"Nonflat"|||"78687642"|"135455354"
0|2|3||2|40|75|"Nonflat"|||"78687641"|"135455353"
0|2|3||2|40|75|"Nonflat"|||"78687640"|"135455352"
0|2|3||2|40|75|"Nonflat"|||"78687639"|"135455351"
0|0|0||2|40|75|"Nonflat"|||"78687638"|"135455350"
0|0|0||2|40|75|"Nonflat"|||"78687637"|"135455349"
0|0|0||2|40|75|"Nonflat"|||"78687636"|"135455348"
15|20|25||5|40|75|"Nonflat"|||"78687569"|"135455263"
0|3|6||75|162|250|"Nonflat"|||"78687569"|"135455264"
15|20|25||5|40|75|"Nonflat"|||"78687568"|"135455261"
0|3|6||75|162|250|"Nonflat"|||"78687568"|"135455262"
0|5|10||5|40|75|"Nonflat"|||"78687567"|"135455260"
20|25|30||5|40|75|"Nonflat"|||"78687566"|"135455259"
25|30|35||5|40|75|"Nonflat"|||"78687565"|"135455257"
0|2|3||75|162|250|"Nonflat"|||"78687565"|"135455258"
0|0|0||2|40|75|"Nonflat"|||"78687635"|"135455347"
0|0|0||2|40|75|"Nonflat"|||"78687634"|"135455346"
5|10|15||2|40|75|"Nonflat"|||"78687620"|"135455330"
0|2|3||2|4|5|"Nonflat"|||"78687619"|"135455329"
0|5|10||5|40|75|"Nonflat"|||"78687564"|"135455256"
