areasymbol	url
CA606	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA606_soildb_US_2003_[2025-09-03].zip
CA607	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA607_soildb_US_2003_[2025-09-03].zip
CA608	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA608_soildb_US_2003_[2025-09-03].zip
CA609	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA609_soildb_US_2003_[2025-09-02].zip
CA610	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA610_soildb_US_2003_[2025-08-29].zip
CA612	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA612_soildb_US_2003_[2025-09-05].zip
CA614	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA614_soildb_US_2003_[2025-09-03].zip
CA618	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA618_soildb_US_2003_[2025-09-03].zip
CA619	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA619_soildb_US_2003_[2025-09-02].zip
CA620	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA620_soildb_US_2003_[2025-09-02].zip
CA624	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA624_soildb_US_2003_[2025-09-02].zip
CA630	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA630_soildb_US_2003_[2025-09-02].zip
CA637	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA637_soildb_US_2003_[2025-09-02].zip
CA638	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA638_soildb_US_2003_[2025-09-08].zip
CA641	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA641_soildb_US_2003_[2025-08-29].zip
CA642	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA642_soildb_US_2003_[2025-09-08].zip
CA644	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA644_soildb_US_2003_[2025-09-02].zip
CA645	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA645_soildb_US_2003_[2025-09-05].zip
CA646	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA646_soildb_US_2003_[2025-08-29].zip
CA647	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA647_soildb_US_2003_[2025-09-02].zip
CA648	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA648_soildb_US_2003_[2025-09-02].zip
CA649	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA649_soildb_US_2003_[2025-09-02].zip
CA651	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA651_soildb_US_2003_[2025-09-02].zip
CA653	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA653_soildb_US_2003_[2025-09-02].zip
CA654	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA654_soildb_US_2003_[2025-09-02].zip
CA659	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA659_soildb_US_2003_[2025-09-02].zip
CA660	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA660_soildb_US_2003_[2025-09-02].zip
CA663	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA663_soildb_US_2003_[2025-09-05].zip
CA664	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA664_soildb_US_2003_[2025-09-08].zip
CA665	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA665_soildb_US_2003_[2025-09-02].zip
CA666	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA666_soildb_US_2003_[2025-09-02].zip
CA667	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA667_soildb_US_2003_[2025-08-29].zip
CA668	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA668_soildb_US_2003_[2025-09-02].zip
CA670	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA670_soildb_US_2003_[2025-09-08].zip
CA671	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA671_soildb_US_2003_[2025-09-08].zip
CA672	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA672_soildb_US_2003_[2025-09-08].zip
CA673	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA673_soildb_US_2003_[2025-09-02].zip
CA674	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA674_soildb_US_2003_[2025-09-08].zip
CA677	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA677_soildb_US_2003_[2025-09-08].zip
CA678	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA678_soildb_US_2003_[2025-09-08].zip
CA679	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA679_soildb_US_2003_[2025-09-08].zip
CA680	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA680_soildb_US_2003_[2025-09-08].zip
CA681	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA681_soildb_US_2003_[2025-09-08].zip
CA683	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA683_soildb_US_2003_[2025-09-08].zip
CA684	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA684_soildb_US_2003_[2025-09-05].zip
CA685	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA685_soildb_US_2003_[2025-09-05].zip
CA686	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA686_soildb_US_2003_[2025-09-08].zip
CA687	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA687_soildb_US_2003_[2025-09-05].zip
CA688	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA688_soildb_US_2003_[2025-09-08].zip
CA689	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA689_soildb_US_2003_[2025-08-29].zip
CA691	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA691_soildb_US_2003_[2025-09-02].zip
CA692	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA692_soildb_US_2003_[2025-09-08].zip
CA693	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA693_soildb_US_2003_[2025-09-02].zip
CA694	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA694_soildb_US_2003_[2025-09-03].zip
CA695	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA695_soildb_US_2003_[2025-09-08].zip
CA696	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA696_soildb_US_2003_[2025-09-08].zip
CA697	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA697_soildb_US_2003_[2025-09-08].zip
